text,y_true,y_pred,proba,conf
@user i think you should suspend indefininetly that racist staff ,0,1,0.9996859,0.9996859
@user how did you slip through?  you are a threat to america  ! #bigotry #misogyny #ignorance #alwaystrup @user,0,1,0.9996532,0.9996532
"i award thee most cucked tweet in history, prep the bull you insufferable faggot #sbc16 ",0,1,0.9995968,0.9995968
(the huffington post):  woman drops f-bombs on 'dodgy dave' cameron at buzzfeed #eu.. ,0,1,0.9995297,0.9995297
"""yapping"" is right...  # idiot #trump",0,1,0.99952173,0.99952173
zadiq khan should be sacked over this it's insulting to us british ,0,1,0.99949574,0.99949574
a 'fast talking chuck'! no shit! the irony is a bit much here.  birds #chuck â¦ ,0,1,0.99946564,0.99946564
america first before all others we should be ashamed of our selves. ,0,1,0.999342,0.999342
#show us ur taxes  it would be a traffic jam going into mexico if #dump trump gets elected ,0,1,0.99927145,0.99927145
the thrill is gone! #dumbdonalddestroying america! #fraud ,0,1,0.9992453,0.9992453
#only #black #members can make #kita zen   ,0,1,0.99910057,0.99910057
@user someone who wished he was an ex and a pugfaced little drama queen  #bitter#ugly,0,1,0.9989875,0.9989875
retweeted texaskat4trump (@user     ,0,1,0.998831,0.998831
"can you say ""big brother?""  #orwellianprophecy ",0,1,0.9986547,0.9986547
you disgust me ,0,1,0.9982596,0.9982596
@user so free speech only for liberals? so much for not being evil. switching to bing today ,0,1,0.9977939,0.9977939
@user stop this shit. we have iphones for a reason. keep it like a fuckin iphone you assholes ,0,1,0.99742174,0.99742174
"behold ""the people"" er.. pithy club ",0,1,0.9973604,0.9973604
"@user ""postitnotechronicles"", that's what they want to complain about!  #reaching   #lies #jiz",0,1,0.9972996,0.9972996
#kimkardashian what do you think at this wife   #nyc,0,1,0.9960932,0.9960932
"its his only defense, deflect from the fact there is no defense for trump-george showed his true colors #neverump ",0,1,0.9955124,0.9955124
#trump: #obama '#was more   at me than he #was at the #shooter' ,0,1,0.99312794,0.99312794
#millennials still #not   by #prospect of '#woman' president  via @user,0,1,0.99000895,0.99000895
 @user warning: ladyzaradurose on @user is not me! it's someone impersonating me and using my information.  someone needs a lâ¦,0,1,0.9842019,0.9842019
i sweat you thanks babygirl hmu when ur gay xoxo ,0,1,0.9608458,0.9608458
ok but like imagine tristan as batman ,0,1,0.95107704,0.95107704
racist assholes! ban one of the sweetest and kindest breed of dogs. when will humans be blamed for pits stigma?   ,0,1,0.86084956,0.86084956
"""poem "" by @user on @user ",0,1,0.85859615,0.85859615
 @user @user @user everybody hates the white crayon ,0,1,0.84388727,0.84388727
sick verbal irony of the #left:  equaling homophobe &amp; islamophobe.  protecting both the viper &amp; the mouse as the viper eats the mouse.  ,0,1,0.8433044,0.8433044
@user the truth. the fucking media and politicians of this country should be ashamed. you are incapable of telling the truth. ,0,1,0.83860546,0.83860546
" @user those annoying fake porn followers. get the fuck out of here! no, i don't want to pull your hair and do other things aâ¦",0,1,0.8201202,0.8201202
maybe it's time for conservatives &amp; working class americans to really take a stand. ,0,1,0.81569123,0.81569123
you media types just 'shopped it. there was a yuge bigly crowd there..in his mind. ,0,1,0.7634861,0.7634861
gonna give some white people a taste of ramadan today   ð,0,1,0.7595095,0.7595095
@user would turn keys of country over to racist. really? vs clinton? #fool   #hack @user,0,1,0.74948823,0.74948823
"wow a lot of  ""thumbs down""  on this video  ð¢    #ouch #hate @user #pyrocynical  #why #pulse  ð ",0,1,0.6957843,0.6957843
".@user kill an #animal &amp; market it as "" "".  the only ""meat"" is still walking this is #pig #farming! ",0,1,0.66505736,0.66505736
 . crooked hillary is still not in prison.  #hillary must have some really good stuff on obummer. #never hillary ,0,1,0.5916554,0.5916554
this is the sad and bitter reality! #journalism ,0,1,0.543884,0.543884
