text,y_true,y_pred,proba,conf
expes explain the best way to deal with  friends &amp; family.   ,1,0,0.00050258887,0.99949741113
i do ð. my father had a great one and now my brother @user following him and yeah i married to this awesome guâ¦ ,1,0,0.0005652461,0.9994347539
this is disgusting #grandmother #grandsons   #exist #already ,1,0,0.0005838411,0.9994161589
wen will south choose dark south heroines. kajal tamanna amy wtf??    ,1,0,0.0005869324,0.9994130676
"aptly named... we have whitesboro in ny with its ndn killing town seal, and whiteland with its mascot ",1,0,0.00061850616,0.99938149384
"wife crashes her own funeral, horrifying her husband who had ordered her killed; community turns against her  ",1,0,0.00065381365,0.99934618635
"@user spread the word &amp; join millions for national day of healing jan. 17, 2017  #trht @user #â¦",1,0,0.00065581535,0.99934418465
@user #prank #dad #home #slapcam #black  #waiting #bastard #offensive #memes #meme by offensivememes69 ,1,0,0.00065825286,0.99934174714
.@user my gf used uber without forcing language preferences so you are reading my data and making  #ux choices,1,0,0.00069622434,0.99930377566
"@user  tonight in #cologne. proudly presented by goverment, police + media! it's a big staging going on there!",1,0,0.00069623557,0.99930376443
@user i thought she had 72 assistants. #gladshesgone  #nohope,1,0,0.00072610716,0.99927389284
@user omfg i'm offended! i'm a  mailbox and i'm proud! #mailboxpride  #liberalisme,1,0,0.00073228247,0.99926771753
just pre-ordered this. it sounds a really great book ,1,0,0.00074016687,0.99925983313
next attack wont be in japan. guaranteed. #smaimmigration  #zeroattacks #istanbul #religionofpeace #reliability,1,0,0.0007418031,0.9992581969
@user just pre-ordered this. it sounds a really great book ,1,0,0.00075114163,0.99924885837
@user #freedownload a peek of #nyc  here:  then come back to holier than moi??,1,0,0.0007590125,0.9992409875
#ifyousawinyouwhatisee you would believe the accusations regarding your father  ,1,0,0.00078865135,0.99921134865
"@user icymi yesterday -  this is what one peh venue offers for nye enteainment #rapeculture    #vaw    ""some... htâ¦",1,0,0.00081411295,0.99918588705
@user @user scary that it's not that long ago! ,1,0,0.0008535177,0.9991464823
@user @user @user    #smileyong along with #kingconrad @user make me go through hell @user   ð¡ðâ¦ ,1,0,0.00094689475,0.99905310525
"also #keyboard is  when i type ""cause coopting terrorists"" reg syria it autocorrects to ""cause colored terrorists""",1,0,0.0011035604,0.9988964396
just learned that there're men who find breast feeding repulsive. &amp; some of those are fathers! does that makes any sense whatsoever? ,1,0,0.0013307241,0.9986692759
innocent but . #80snostalgia i'd love a gollybar said every irish kid ever. ,1,0,0.0013835995,0.9986164005
@user @user in atlanta the  mayor &amp; police force allow s to rule the city block roads &amp; freeways w/o action,1,0,0.0016959017,0.9983040983
far right in #georgia showing euro values of . ,1,0,0.0017862432,0.9982137568
@user there's never any room for  in a school board. ever. kids at these schools are 100% of our future.,1,0,0.0020000096,0.9979999904
"y'all,  is global. we just may have to lose before folks understand.",1,0,0.0022414534,0.9977585466
"lee atwater was caught n tape explains the ""southern strategy"" he was in reagan's cabinet  #13th",1,0,0.0027436193,0.9972563807
i'm trying so hard to make your handwritten indirect pretty and you tweet shit like this. shut up ,1,0,0.0029111097,0.9970888903
@user prison officers goaded #muslim inmates until they needed to be restrained as pa of a  game ,1,0,0.0034428076,0.9965571924
@user had to screenshot &amp; share these snaps from @user it's an impoant message.  #colourism ,1,0,0.0034536829,0.9965463171
um why a girl and not a boy? or maybe just gender neutral teenager.  ,1,0,0.003511882,0.996488118
this is sooooo  or may be just funny ,1,0,0.0040032603,0.9959967397
"president #woodrowwilson held a private screening of d.w. griffith's ""bih of a nation""  #history #13th",1,0,0.0041774446,0.9958225554
 porn video smoking porn fetish,1,0,0.004367353,0.995632647
"2016 is almost over, so ... #bunch #darkest #moviefone #postholiday  #nowthattheholidaysaredone #news ",1,0,0.0053531537,0.9946468463
@user 'cept she plays a celtic woman. celtic symbols and accent etc. but because she's bald character ppl assume she's a man. ,1,0,0.005498805,0.994501195
@user @user @user is this the kind of tweet you want a company rep sending out?  ,1,0,0.0065541067,0.9934458933
@user why is #obamalegacy only showing negative stuff??... i'm so confused.  #obama #potus #donuldtrump,1,0,0.008606563,0.991393437
"@user seriously  lede. come on, @user you can do better. ",1,0,0.012343103,0.987656897
@user this sums up why i voted for #brexit; not  or #littleenglander syndrome but sovereignty and democracy   ,1,0,0.015382065,0.9846179349999999
"#conormcgregor runs his mouth endlessly like #rondarousey. both have lost. and yet, ppl only take glee in her losing.  perhaps?",1,0,0.016960025,0.983039975
"let me tell you a story about  and #videogames. specifically, #marvel super heroes vs. #streetfighter. ",1,0,0.019452607,0.980547393
#manipur #ndtv #timenow #samachar #zeenews #dordarshan  #genocide  what would be the reaction of the... ,1,0,0.020211738,0.979788262
what if rapists got the same advice women do?   #rapeculture,1,0,0.021466339,0.9785336609999999
"she resigned today from the ""chaer"" school. #texas  #justicereform ",1,0,0.023325605,0.976674395
"""the education of public servants is a critical pa of the path forward..."" so true. ",1,0,0.024123106,0.975876894
!!! no-balls to 'own' his  ... 'coward' !!! /// ,1,0,0.029750774,0.970249226
"@user no, we're not ",1,0,0.04079917,0.95920083
"@user @user @user @user @user i'm mixed w/ native american, spanish, irish and u call me  ð",1,0,0.047881484,0.952118516
