text,y_true,y_pred,proba,conf
this is disgusting #grandmother #grandsons   #exist #already ,1,0,0.0006679463,0.9993320537
@user @user @user is this the kind of tweet you want a company rep sending out?  ,1,0,0.0006762468,0.9993237532
#cctv  appeal after horrific   attack in #norrisgreen   ,1,0,0.00072603347,0.99927396653
@user @user @user    #smileyong along with #kingconrad @user make me go through hell @user   ð¡ðâ¦ ,1,0,0.0010452609,0.9989547391
wen will south choose dark south heroines. kajal tamanna amy wtf??    ,1,0,0.0013181405,0.9986818595
"@user @user @user @user @user i'm mixed w/ native american, spanish, irish and u call me  ð",1,0,0.0015520074,0.9984479926
"@user if they say their comments are just a joke or smth, it will be just their opinion? i don't think so. it's a . ",1,0,0.0016550738,0.9983449262
"wife crashes her own funeral, horrifying her husband who had ordered her killed; community turns against her  ",1,0,0.0020788824,0.9979211176
#ifyousawinyouwhatisee you would believe the accusations regarding your father  ,1,0,0.0022111665,0.9977888335
@user what you should know about #environmental . @user  ,1,0,0.0026668124,0.9973331876
just learned that there're men who find breast feeding repulsive. &amp; some of those are fathers! does that makes any sense whatsoever? ,1,0,0.002670861,0.997329139
what if rapists got the same advice women do?   #rapeculture,1,0,0.003227773,0.996772227
"2016 is almost over, so ... #bunch #darkest #moviefone #postholiday  #nowthattheholidaysaredone #news ",1,0,0.003690545,0.996309455
"@user @user it's 2016!      would you question #hillary like that considering her age, condition &amp; factâ¦ ",1,0,0.004035202,0.995964798
i do ð. my father had a great one and now my brother @user following him and yeah i married to this awesome guâ¦ ,1,0,0.0041467245,0.9958532755
@user uk 2016: where it fell to pop star @user to do the job of the #bbc #euref #brexit #media  ,1,0,0.004607164,0.995392836
retweet if you agree! ,1,0,0.004914375,0.995085625
how #quebec's #humanrights &amp; #justice system fail to protect victims of police   @user @user ,1,0,0.0054691867,0.9945308133
damn she's bold #kentucky #jcpenny #mexicans #bitchesbelike   ,1,0,0.007136661,0.992863339
  is defunding aboion and sending you to the #inauguration  ,1,0,0.0073048836,0.9926951164
"beware the ""snowball effect"" blackman! pa 2   ",1,0,0.007967028,0.992032972
"harbaugh had no time for stupid questions about bikinis.  thank you, @user no time 4 .   via @user",1,0,0.008023843,0.991976157
um why a girl and not a boy? or maybe just gender neutral teenager.  ,1,0,0.008037304,0.991962696
i'm trying so hard to make your handwritten indirect pretty and you tweet shit like this. shut up ,1,0,0.010120122,0.989879878
surprise! adam saleh is a  ! (@user ) ,1,0,0.010414662,0.989585338
"aptly named... we have whitesboro in ny with its ndn killing town seal, and whiteland with its mascot ",1,0,0.011399381,0.988600619
@user from emojis to the inexistence reverse   via .@user .@user,1,0,0.012157507,0.987842493
"based on recent commercials from state farm and old navy, omarosa's choice is clearly . ",1,0,0.012665868,0.987334132
the latest the zurich times!  ,1,0,0.015287803,0.984712197
expes explain the best way to deal with  friends &amp; family.   ,1,0,0.017146837,0.982853163
i decided to become a #feminist beginning 1/1/17. if any feminists are reading plz help to find educational materials.   #feminism  ,1,0,0.017275056,0.982724944
@user @user more americans hate him  ,1,0,0.017933184,0.982066816
"trump ny co-chair: i want obama to die of mad cow disease and michelle to ""go back to being a male""   #trump",1,0,0.022897648,0.977102352
"7 ways #facebookâs #repoingsystem fails its #communitystandards, its users by @user   #blacklivesmatter",1,0,0.022938734,0.977061266
#democrat pay has alway been the pay of   before it was black inferior to whites. now whites are inferior to everybody,1,0,0.029574158,0.970425842
this is sooooo  or may be just funny ,1,0,0.034249127,0.965750873
"@user  tonight in #cologne. proudly presented by goverment, police + media! it's a big staging going on there!",1,0,0.037726708,0.962273292
jeff sessions omits decades of records for his ag confirmation hearing @user you can't hide   ,1,0,0.038550135,0.961449865
@user @user scary that it's not that long ago! ,1,0,0.048990324,0.951009676
the everyday response to   @user,1,0,0.057286013,0.942713987
#democrats are the 1st to tell   jokes,1,0,0.08018015,0.91981985
"@user icymi yesterday -  this is what one peh venue offers for nye enteainment #rapeculture    #vaw    ""some... htâ¦",1,0,0.0845776,0.9154224
@user this sums up why i voted for #brexit; not  or #littleenglander syndrome but sovereignty and democracy   ,1,0,0.09881513,0.90118487
how did women fair in 2016?  ,1,0,0.10486923,0.89513077
yes because apparently being qualified for a job is dependent upon your ethnicity  ,1,0,0.13584444,0.8641555599999999
innocent but . #80snostalgia i'd love a gollybar said every irish kid ever. ,1,0,0.15181485,0.8481851499999999
bout to spend new year's eve playing  the game lol ,1,0,0.16871181,0.83128819
just pre-ordered this. it sounds a really great book ,1,0,0.1880876,0.8119124
#manipur #ndtv #timenow #samachar #zeenews #dordarshan  #genocide  what would be the reaction of the... ,1,0,0.20500024,0.79499976
@user just pre-ordered this. it sounds a really great book ,1,0,0.2950754,0.7049246
