text,y_true,y_pred,proba,conf
"this ""defense"" is what rape culture looks like  via @user #endrapeculture #smashpatriachy   #burnthesystemdown",0,1,0.99935085,0.99935085
zadiq khan should be sacked over this it's insulting to us british ,0,1,0.9992779,0.9992779
@user how did you slip through?  you are a threat to america  ! #bigotry #misogyny #ignorance #alwaystrup @user,0,1,0.99927264,0.99927264
" @user those annoying fake porn followers. get the fuck out of here! no, i don't want to pull your hair and do other things aâ¦",0,1,0.9992638,0.9992638
(the huffington post):  woman drops f-bombs on 'dodgy dave' cameron at buzzfeed #eu.. ,0,1,0.99924797,0.99924797
@user would turn keys of country over to racist. really? vs clinton? #fool   #hack @user,0,1,0.9992478,0.9992478
@user i think you should suspend indefininetly that racist staff ,0,1,0.99921143,0.99921143
" @user finally figured it out: #donaldtrump is the new #lbj but, you know, racist and without the skill and brains.   =&gt; htâ¦",0,1,0.9992055,0.9992055
" @user how far has systemic hate come? first, giving a shit about where trans people piss &amp; now killing unarmed gorillas??? #sâ¦",0,1,0.9991934,0.9991934
 @user the whole world knows potus is anti-american.   #jihadinamerica ,0,1,0.9991209,0.9991209
@user @user @user @user you're a   #lonewolf who'll probably snap 1 day! go #kill something. you're a #hate #merchant,0,1,0.999108,0.999108
@user you are very ignorant   #liberal #pcculture,0,1,0.99908864,0.99908864
join #trump and melania all the way to the  ,0,1,0.9990871,0.9990871
racist assholes! ban one of the sweetest and kindest breed of dogs. when will humans be blamed for pits stigma?   ,0,1,0.998896,0.998896
huge black dicks porn   pussy  ,0,1,0.99877936,0.99877936
you disgust me ,0,1,0.99857485,0.99857485
sick verbal irony of the #left:  equaling homophobe &amp; islamophobe.  protecting both the viper &amp; the mouse as the viper eats the mouse.  ,0,1,0.9985435,0.9985435
  nude female movies rachel bilson nude fake  ,0,1,0.998367,0.998367
#millennials still #not   by #prospect of '#woman' president  via @user,0,1,0.998271,0.998271
#open #minds are   ones. #stop all the #barbaric #hate. this #video gave me #goosebumps  ,0,1,0.9981773,0.9981773
a classic trump follower. ,0,1,0.99809426,0.99809426
"what makes you  ?? stick it on a post-it, and put it on your mirror ð  ðspotted in #sanfrancisco ",0,1,0.99801826,0.99801826
retweeted texaskat4trump (@user     ,0,1,0.9979354,0.9979354
this is what happens when a race feels superior to another one.    ,0,1,0.9978962,0.9978962
maybe it's time for conservatives &amp; working class americans to really take a stand. ,0,1,0.99786276,0.99786276
 @user a surprising read to make you    &gt;&gt;&gt; the betrayal of ka &lt;&lt;&lt;  #scifi #kindleunlimited  ,0,1,0.9977983,0.9977983
"you believe your miscegenation genocide will stop the ""breeding"" of black and white ppl off face of our eah, @user   @user",0,1,0.99765575,0.99765575
ðask the #cdc maybe? drs hands are tied even if they're #aware &amp; #recognize #chroniclyme due to #ignorance ð    ,0,1,0.99711084,0.99711084
donald #trump fires back at his teen comedian critic.      #weak #drumpf #us #us2016,0,1,0.9970071,0.9970071
" @user your future, albea.   #ndp #bankruptcy #ableg  ",0,1,0.99690706,0.99690706
 @user @user @user everybody hates the white crayon ,0,1,0.99670523,0.99670523
a surprising read to make you    &gt;&gt;&gt; the betrayal of ka &lt;&lt;&lt;  #scifi #kindleunlimited  ,0,1,0.99647695,0.99647695
a surprising read to make you    &gt;&gt;&gt; the betrayal of ka &lt;&lt;&lt;  #scifi #kindleunlimited  ,0,1,0.99647695,0.99647695
@user @user @user @user not just men.  there are plenty of female predators   fact,0,1,0.99632853,0.99632853
"as he should be! president ""i told you so!"" #whatajoke   ",0,1,0.995004,0.995004
i'm being censored | youtube's war against vegans   #truth ,0,1,0.9934174,0.9934174
hitting way close to home.   is an understatement. #nj child porn arrest made at #southjersey school  via @user,0,1,0.9922328,0.9922328
gay right-wingers are not acceptable!   toe the prog line. islam loves gays. christianity is the enemy.   2+2=5 ,0,1,0.9916848,0.9916848
hold the door..... ,0,1,0.9872295,0.9872295
most tolerant nation in the world is india!   we tolerated #corruption #rapes #justice #blackmagic #blindfaith #scammers #criminals    ,0,1,0.9855365,0.9855365
 @user @user how pathetic of @user to attempt to invoke a dead war hero to defend one of many of trump's racistâ¦,0,1,0.98507637,0.98507637
@user another example of #religiouspsychosis    @user,0,1,0.98285025,0.98285025
@user he would have washed his color off if he could have.  ,0,1,0.98230755,0.98230755
"you tell versions of lies, @user with your hatred and vile attacks upon black men and women, theron.   @user @user",0,1,0.9816135,0.9816135
"u hear it here folks - #islamicjihad, #radicalislam, #touous  barbarians, horrible people!!!  you know that's right mr. bho!!! #tcot   ",0,1,0.98110914,0.98110914
#kimkardashian what do you think at this wife   #nyc,0,1,0.97578126,0.97578126
"only 1 in 4, yes only 25% of republican voters polled believe what #trump said about judge curiel was racist.   #morningjoe #msnbc",0,1,0.96991223,0.96991223
"i award thee most cucked tweet in history, prep the bull you insufferable faggot #sbc16 ",0,1,0.9653908,0.9653908
" @user @user wow fox news, his parents are afghan origin , not him.. he was born here . way to sta spinning up xenophobia wiâ¦",0,1,0.9650572,0.9650572
a 'fast talking chuck'! no shit! the irony is a bit much here.  birds #chuck â¦ ,0,1,0.96479404,0.96479404
